autoformer,24,1.388674855,0.844328344
autoformer,36,1.164666653,0.782936931
autoformer,48,1.130059123,0.776231468
autoformer,60,1.097428918,0.763586998
crossformer,24,1.356122851,0.845416307
crossformer,36,1.111680865,0.756403625
crossformer,48,1.182130933,0.784658313
crossformer,60,1.310428381,0.848761082
fedformer,24,1.588193297,0.90192306
fedformer,36,1.554265022,0.915170133
fedformer,48,1.453302741,0.889170587
fedformer,60,1.563794851,0.923744619
informer,24,2.284312487,1.188460588
informer,36,2.394002914,1.202893019
informer,48,2.282453299,1.175338864
informer,60,2.436153889,1.224382997
pyraformer,24,1.521074414,0.941154361
pyraformer,36,1.901851892,1.085405111
pyraformer,48,1.803097248,1.073433638
pyraformer,60,1.709923029,1.019125938
reformer,24,2.157999277,1.169106245
reformer,36,2.384324074,1.231998801
reformer,48,2.178127766,1.16810894
reformer,60,2.536074638,1.273564816
transformer,24,2.328493118,1.192625523
transformer,36,2.30751133,1.185105443
transformer,48,2.330054522,1.186761856
transformer,60,2.245176554,1.162820101
